label,text
0.0,Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
0.0,Ok lar... Joking wif u oni...
1.0,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry questionstd txt rateTCs apply 08452810075over18s
0.0,U dun say so early hor... U c already then say...
0.0,Nah I dont think he goes to usf, he lives around here though
1.0,FreeMsg Hey there darling its been 3 weeks now and no word back Id like some fun you up for it still Tb ok XxX std chgs to send, 1.50 to rcv
0.0,Even my brother is not like to speak with me. They treat me like aids patent.
0.0,As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers. Press 9 to copy your friends Callertune
1.0,WINNER As a valued network customer you have been selected to receivea 900 prize reward To claim call 09061701461. Claim code KL341. Valid 12 hours only.
1.0,Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 08002986030
0.0,Im gonna be home soon and i dont want to talk about this stuff anymore tonight, k Ive cried enough today.
1.0,SIX chances to win CASH From 100 to 20,000 pounds txt CSH11 and send to 87575. Cost 150pday, 6days, 16 TsandCs apply Reply HL 4 info
1.0,URGENT You have won a 1 week FREE membership in our 100,000 Prize Jackpot Txt the word CLAIM to No 81010 TC www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
0.0,Ive been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
0.0,I HAVE A DATE ON SUNDAY WITH WILL
1.0,XXXMobileMovieClub To use your credit, click the WAP link in the next txt message or click here httpwap. xxxmobilemovieclub.comnQJKGIGHJJGCBL
0.0,Oh k...im watching here
0.0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
0.0,Fine if thats the way u feel. Thats the way its gota b
1.0,England v Macedonia  dont miss the goalsteam news. Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES, SCOTLAND 4txt1.20 POBOXox36504W45WQ 16
0.0,Is that seriously how you spell his name
0.0,Im going to try for 2 months ha ha only joking
