"Adult..15...literacy.rate......Total","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"Afghanistan",NA,NA,NA,NA,18.1576811342053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7129780776867,NA,NA,NA,NA,NA,NA,95.9386397822897,NA,NA,96.8452991514299
"Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.630884834899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.8735004434486,NA,NA,NA,72.6486791729118,NA,NA,NA,NA,NA
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4054160382926,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.36242
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4070981210856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.95
"Argentina",NA,NA,NA,NA,NA,93.9128597082666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1281958552696,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1933115834792,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.85877
"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7519649303406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4001565166496,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.56817
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2912521241522,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8226400949585,NA
"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7918027041485,NA,NA,NA,NA,NA,NA,NA,99.6019062009647,NA,99.7598406747891,NA,NA
"Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",NA,NA,NA,NA,NA,NA,69.7535140924992,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.013829627317,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.548744232634,NA,NA,NA,NA,NA,NA,NA,NA,94.5567917987051,NA
"Bangladesh",NA,NA,NA,NA,NA,NA,29.2272326765532,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3192956177543,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.48550010368,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.73479
