"Per.capita.government.expenditure.on.health.at.average.exchange.rate..US..","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"Abkhazia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,0.83264313,1.25011796,1.61415968,2.52506627,2.81377948,3.50342621,3.74461289,3.90888662,4.39040759
"Akrotiri and Dhekelia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",13.94059069,17.0620735,14.16477075,18.62584824,28.13970639,27.16051203,30.50961872,32.54990198,40.60945675,63.93560085,71.35659984,75.55251418,88.76263385,109.07428422,106.89374492,94.02361264
"Algeria",46.77145965,47.96005336,49.73839952,48.67054687,45.54382499,45.9111145,52.50942325,54.07838073,62.63720886,63.22939519,69.29563633,81.67970568,108.9047466,147.82070649,143.16057703,138.84092275
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",897.18154113,982.79481937,966.4849604,1338.29522121,942.42156254,862.39161156,889.5899109,1022.3326572,1297.39572392,1517.21190541,1628.69841218,1853.28165242,2102.01934571,2369.68449165,2357.76180599,2172.37916163
"Angola",13.51683268,8.72415485,10.5273051,6.64874402,6.54825377,12.51447308,18.32050967,14.31116488,19.36453709,19.66478251,27.1210765,50.84873501,68.38520496,125.54511,180.91418896,101.5915272
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",233.09344133,227.11142654,245.81424432,263.58748559,277.83261316,281.39296193,265.67810784,266.94941181,278.5097619,290.61631225,304.66974911,350.9846955,396.55510517,408.58569001,403.15831834,489.45570043
"Argentina",367.6643573,357.21259123,373.3732748,382.56918064,399.60560498,381.87731516,367.27140987,120.72538264,148.07472311,173.80194659,217.0210268,258.84631622,333.85969529,437.00329348,487.74905178,405.05887531
"Armenia",7.96878387,8.16128227,7.35738501,10.01079129,9.62805519,7.06890421,10.99669245,10.56810909,13.90976579,16.27603376,23.63018997,32.99302227,48.33147887,63.53859502,55.95422301,54.23876024
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",1029.37265671,1148.63567733,1178.039092,1053.2277802,1193.33561056,1144.75284373,1081.66902326,1235.74455248,1535.71484495,1915.15306751,2097.85660807,2217.43875499,2670.98796776,2875.46088335,2682.59657533,3246.36581198
"Austria",2112.06768259,2051.06961337,1929.51134706,2018.31965358,2049.53656748,1823.83875792,1815.09663899,1953.65887191,2412.84541349,2787.68468904,2917.15874134,3040.37351256,3517.03437406,3976.35814947,3909.67212794,3843.42389539
"Azerbaijan",4.33324416,6.01612378,6.15091878,5.03924493,5.61560878,5.63556889,5.89876965,5.96268702,7.20606156,10.52992715,13.58627127,20.83838759,36.72726007,45.04588745,65.41126535,67.26231209
"Bahamas",334.55574857,352.86859963,396.21196296,457.72260633,496.61553114,522.67588552,523.85704671,555.91890124,582.21739383,633.14968736,634.89563437,804.41269498,804.80506962,829.18488637,815.08047689,791.11451337
"Bahrain",335.59075775,336.20375602,353.3875998,329.87173551,343.41726764,335.48428673,353.85720294,386.13866684,428.0109575,443.94074158,475.11840302,484.67671559,512.78901048,565.11894888,540.12279565,633.62770191
"Bangladesh",23.83025448,24.39962057,20.42111841,21.20627398,22.34238069,24.21962971,27.12701507,29.3456711,30.4397314,33.69826166,37.36466997,43.02184554,47.40518493,49.06882266,53.05791841,58.00554462
"Barbados",305.84702524,317.76328736,322.04278563,346.67767153,372.19785575,395.55382769,428.99623401,458.90869591,456.33096997,472.17581359,498.06286806,542.45354367,559.69890215,627.51495296,493.64476061,652.3074976
"Belarus",49.16810633,66.47887357,74.97990349,68.77066395,56.63369867,47.92029244,58.50376474,66.80539004,87.45211909,115.4007464,154.43852356,168.25017848,207.1716943,242.96447382,198.93021791,248.31391694
"Belgium",1640.65446294,1679.47112458,1436.12839814,1477.85862454,1499.69068257,1375.77452059,1413.94637376,1528.22373873,2251.36083736,2677.65193564,2746.23670706,2685.29199169,3065.37421696,3563.69918909,3566.53858993,3451.90222173
"Belize",74.08390866,58.00964656,63.70754372,62.27511763,60.99767253,69.44853939,87.98538101,87.22640558,95.41694201,96.49528977,105.01462068,113.21511168,133.06439371,137.85377044,154.16467668,149.71976754
"Benin",8.1075156,8.23899699,6.87307444,7.73777986,8.29665136,6.94049286,8.58306992,7.64305699,10.97839059,11.91078734,13.43001587,14.26014422,16,17,18,15
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",12.86860207,19.20414021,24.42484422,25.02617128,38.18615295,40.93456604,39.290585,58.54913073,37.34348738,34.93704175,43.94919531,56.17043323,73.81325254,80.91950447,78.46262503,94.19770696
"Bolivia",25.64398708,28.84157059,29.64958873,33.28665548,36.67865404,36.90724912,35.96067065,37.50208114,30.68671749,32.59996079,38.56219573,41.25261171,44.36192603,55.6030594,58.3737023,60.65349201
"Bosnia and Herzegovina",30.02612169,41.48321637,39.52206818,40.71955944,61.84796094,60.88767251,67.07272338,78.79045249,123.09261503,138.91963208,144.46285061,169.43738061,222.69400345,294.19225062,303.4947345,306.52684274
"Botswana",65.34420764,65.59540474,77.70974771,71.28794723,75.4790169,94.37971997,126.25673322,145.24293934,180.41470247,346.12205466,310.94278028,290.83239465,386.01241019,407.24063721,441.99418214,445.76072306
"Brazil",135.90029838,141.8709084,152.67534983,143.05791699,103.40200043,106.75368153,96.30129687,90.66287565,94.77183957,121.04390672,155.55158462,204.98809606,255.08688095,305.73574181,319.84470564,465.67404002
"British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei",375.08860198,519.23878992,514.47833546,482.1617045,458.12379481,476.84498232,431.58206817,439.08936389,487.66871933,557.91924796,581.77522198,597.50459405,661.47524155,754.30028866,709.72350798,748.32260895
"Bulgaria",60.51647544,38.45053184,45.7656738,57.82283902,63.89218565,59.52535931,75.45206292,94.32380116,124.74431412,144.72852664,166.67717762,169.37797791,218.07343277,277.55741391,256.08411179,236.9744713
"Burkina Faso",4.15324741,4.55124611,4.47943313,4.97620851,5.46886125,4.31995506,4.10541823,5.55976816,8.17350386,12.15183052,15.74706853,14.87443847,17.96419923,21.56151702,19.3126159,20.27447781
"Burundi",3.00991129,2.86477668,2.40966371,2.3334837,2.0773543,2.01390968,2.30144859,2.01354966,1.64916192,3.43966923,4.667533,6.17533156,6.65175068,6.80837092,6.72102469,7.90940238
"Cambodia",3.21471026,7.42815436,5.56721914,3.28937185,3.23052842,3.80777278,5.26635134,6.58007492,8.41755226,9.25904436,7.21796047,7.98475091,10.2874399,12.65904548,14.97304379,16.82139011
"Cameroon",5.86006897,5.96980053,6.10376025,5.14902175,5.45272824,5.5246363,6.78171512,8.55620152,10.80859562,10.38168348,10.58456982,10.76372672,11.86685153,13.04549914,15.64593849,18.17108644
"Canada",1297.15626174,1294.3665538,1313.38169347,1304.44425294,1354.96061183,1469.88202793,1503.86073999,1563.67624541,1878.21632391,2132.40338688,2425.79012568,2729.81930623,3047.98563596,3258.48652902,3191.40574742,3681.42613478
"Cape Verde",50.73669527,47.29737814,44.54623138,47.50117493,45.9813741,42.02368375,48.16935728,51.89797829,59.80442552,78.64092601,75.62507738,95.12335782,103.04320758,113.9037323,111.21554798,116.0392246
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",4.86327739,3.48334612,4.05406275,3.3957187,3.89734611,4.13021606,3.81834228,4.39277025,4.72110698,4.90437841,4.42546509,4.8386784,5.7184189,6.15473433,6.24655364,6.4365166
"Chad",4.14184241,4.54608235,4.04403572,3.76510724,3.84266446,4.49340228,4.80916479,5.58609829,8.0942278,8.45104748,10.53202634,7.83017746,6.59563377,6.04398315,5.60810331,7.65331926
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",127.40658265,141.73859823,155.7578568,162.6656862,157.6315956,168.58764608,159.30040214,156.92127435,134.200414,167.33113569,201.11800466,249.27924711,295.10381318,336.91055483,382.0569429,456.40623165
"China",10.67774257,12.31596274,13.70728648,14.79219182,15.78363019,16.61727941,16.80674612,19.38332545,22.15497783,26.6265517,31.15907201,37.96834315,53.72577706,78.2202325,100.4264327,118.38841636
"Christmas Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocos Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",109.25482178,149.06628861,175.39392598,171.618899,157.20228896,130.48136145,125.21985549,123.14695464,122.53327127,145.16845689,177.65253086,193.1543716,239.17191356,266.1789425,278.44250005,343.24719239
"Comoros",13.50516984,12.33688076,10.54043721,8.81761275,7.98084558,5.46586374,4.17148035,6.94563015,9.46252379,11.8254847,13.45292869,15.41394391,19.1019218,23.22485312,12.60431807,22.33183442
"Congo, Dem. Rep.",0.19,0.14,0.27,0.23,0.6592288,0.54345903,0.31,0.27,1.15604805,1.41596712,2.19519292,2.7823269,3.69746663,6.45543787,7.47958038,6.69876027
