,wsid,wsnm,elvt,lat,lon,inme,city,prov,mdct,date,yr,mo,da,hr,prcp,stp,smax,smin,gbrd,temp,dewp,tmax,dmax,tmin,dmin,hmdy,hmax,hmin,wdsp,wdct,gust
0,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 0:00,11/6/07,2007,11,6,0,,982.5,982.5,981.3,,29.3,12.1,29.7,16.8,25.5,10.8,35,58,32,3.2,101,6.5
1,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 1:00,11/6/07,2007,11,6,1,,983.2,983.2,982.5,,29.0,13.5,29.9,13.6,29.0,12.2,39,39,35,3.6,94,6.4
2,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 2:00,11/6/07,2007,11,6,2,,983.5,983.5,983.2,,27.4,14.0,29.0,14.0,27.4,13.6,44,44,39,2.5,93,6.9
3,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 3:00,11/6/07,2007,11,6,3,,983.7,983.7,983.4,,25.8,16.9,27.4,16.9,25.8,14.1,58,58,44,1.7,96,5.8
4,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 4:00,11/6/07,2007,11,6,4,,983.7,983.8,983.6,,25.4,16.4,26.3,17.0,25.3,16.4,57,58,56,3.1,110,7.5
5,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 5:00,11/6/07,2007,11,6,5,,983.7,983.8,983.6,,23.8,16.2,25.4,16.4,23.8,16.0,62,62,57,2.0,99,6.8
6,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 6:00,11/6/07,2007,11,6,6,,983.7,983.7,983.6,,22.0,16.7,23.8,16.7,22.0,16.2,72,72,62,1.3,93,4.9
7,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 7:00,11/6/07,2007,11,6,7,,984.6,984.6,983.7,,19.7,17.4,22.0,17.8,19.5,16.6,86,89,72,0.5,157,2.8
8,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 8:00,11/6/07,2007,11,6,8,,985.7,985.7,984.6,,18.3,17.3,19.7,17.3,18.3,16.9,93,94,85,,141,1.5
9,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 9:00,11/6/07,2007,11,6,9,,986.7,986.7,985.7,214.149,22.9,18.3,22.9,18.3,18.2,17.1,75,94,75,,248,
10,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 10:00,11/6/07,2007,11,6,10,,987.2,987.2,986.7,987.98,25.0,17.1,25.1,18.4,22.9,17.0,61,76,61,3.3,97,6.2
11,178,SÃO GONÇALO,237,-6.835777,-38.311583,A333,São Gonçalo,RJ,11/6/07 11:00,11/6/07,2007,11,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
